id,state,district,urban_rural,income_band,household_size,source_dataset,source_year
43,West Bengal,district_42,rural,10k-25k,3,seed_synthetic,2026
44,Uttar Pradesh,district_43,rural,<10k,4,seed_synthetic,2026
45,Karnataka,district_44,urban,10k-25k,6,seed_synthetic,2026
46,Bihar,district_45,rural,10k-25k,3,seed_synthetic,2026
47,Uttar Pradesh,district_46,rural,<10k,6,seed_synthetic,2026
48,Bihar,district_47,urban,25k-50k,5,seed_synthetic,2026
49,West Bengal,district_48,rural,10k-25k,3,seed_synthetic,2026
50,West Bengal,district_49,rural,10k-25k,7,seed_synthetic,2026
51,West Bengal,district_0,rural,<10k,4,seed_synthetic,2026
52,Maharashtra,district_1,urban,10k-25k,2,seed_synthetic,2026
53,Uttar Pradesh,district_2,urban,10k-25k,7,seed_synthetic,2026
54,Uttar Pradesh,district_3,rural,10k-25k,7,seed_synthetic,2026
55,Uttar Pradesh,district_4,urban,<10k,1,seed_synthetic,2026
56,Karnataka,district_5,urban,25k-50k,7,seed_synthetic,2026
57,Tamil Nadu,district_6,urban,50k-100k,7,seed_synthetic,2026
58,Karnataka,district_7,rural,10k-25k,6,seed_synthetic,2026
59,West Bengal,district_8,rural,25k-50k,2,seed_synthetic,2026
60,West Bengal,district_9,rural,50k-100k,5,seed_synthetic,2026
61,Bihar,district_10,urban,100k+,4,seed_synthetic,2026
62,West Bengal,district_11,urban,25k-50k,5,seed_synthetic,2026
63,Uttar Pradesh,district_12,rural,50k-100k,5,seed_synthetic,2026
64,Bihar,district_13,rural,50k-100k,5,seed_synthetic,2026
65,Uttar Pradesh,district_14,rural,25k-50k,4,seed_synthetic,2026
66,Maharashtra,district_15,rural,10k-25k,5,seed_synthetic,2026
67,Bihar,district_16,rural,<10k,4,seed_synthetic,2026
68,Uttar Pradesh,district_17,urban,<10k,1,seed_synthetic,2026
69,Karnataka,district_18,rural,10k-25k,1,seed_synthetic,2026
70,Uttar Pradesh,district_19,rural,10k-25k,7,seed_synthetic,2026
71,West Bengal,district_20,urban,10k-25k,7,seed_synthetic,2026
72,Maharashtra,district_21,rural,25k-50k,5,seed_synthetic,2026
73,Uttar Pradesh,district_22,rural,25k-50k,2,seed_synthetic,2026
74,Karnataka,district_23,rural,50k-100k,6,seed_synthetic,2026
75,West Bengal,district_24,rural,<10k,2,seed_synthetic,2026
76,Uttar Pradesh,district_25,rural,<10k,3,seed_synthetic,2026
77,Maharashtra,district_26,rural,25k-50k,3,seed_synthetic,2026
78,Maharashtra,district_27,rural,50k-100k,1,seed_synthetic,2026
79,Tamil Nadu,district_28,rural,100k+,6,seed_synthetic,2026
80,West Bengal,district_29,urban,50k-100k,4,seed_synthetic,2026
81,Bihar,district_30,rural,50k-100k,3,seed_synthetic,2026
82,Uttar Pradesh,district_31,rural,10k-25k,4,seed_synthetic,2026
83,Karnataka,district_32,urban,10k-25k,1,seed_synthetic,2026
84,West Bengal,district_33,rural,10k-25k,4,seed_synthetic,2026
85,Tamil Nadu,district_34,rural,25k-50k,4,seed_synthetic,2026
86,West Bengal,district_35,rural,50k-100k,3,seed_synthetic,2026
87,Karnataka,district_36,urban,10k-25k,6,seed_synthetic,2026
88,Maharashtra,district_37,urban,25k-50k,2,seed_synthetic,2026
89,West Bengal,district_38,urban,10k-25k,1,seed_synthetic,2026
90,West Bengal,district_39,urban,<10k,4,seed_synthetic,2026
91,Uttar Pradesh,district_40,rural,<10k,7,seed_synthetic,2026
92,West Bengal,district_41,rural,<10k,3,seed_synthetic,2026
93,Bihar,district_42,urban,50k-100k,1,seed_synthetic,2026
94,Uttar Pradesh,district_43,rural,10k-25k,7,seed_synthetic,2026
95,Bihar,district_44,urban,50k-100k,4,seed_synthetic,2026
96,Maharashtra,district_45,urban,25k-50k,2,seed_synthetic,2026
97,Maharashtra,district_46,rural,<10k,5,seed_synthetic,2026
98,West Bengal,district_47,rural,<10k,3,seed_synthetic,2026
99,Tamil Nadu,district_48,rural,50k-100k,7,seed_synthetic,2026
100,Karnataka,district_49,rural,10k-25k,3,seed_synthetic,2026
101,West Bengal,district_0,rural,50k-100k,4,seed_synthetic,2026
102,Maharashtra,district_1,rural,<10k,4,seed_synthetic,2026
103,West Bengal,district_2,rural,25k-50k,2,seed_synthetic,2026
104,Karnataka,district_3,rural,50k-100k,4,seed_synthetic,2026
105,West Bengal,district_4,rural,<10k,1,seed_synthetic,2026
106,West Bengal,district_5,rural,10k-25k,5,seed_synthetic,2026
107,West Bengal,district_6,rural,100k+,6,seed_synthetic,2026
108,Tamil Nadu,district_7,urban,10k-25k,7,seed_synthetic,2026
109,Uttar Pradesh,district_8,rural,10k-25k,3,seed_synthetic,2026
110,West Bengal,district_9,rural,10k-25k,2,seed_synthetic,2026
111,Maharashtra,district_10,rural,10k-25k,4,seed_synthetic,2026
112,West Bengal,district_11,rural,25k-50k,5,seed_synthetic,2026
113,Tamil Nadu,district_12,rural,25k-50k,7,seed_synthetic,2026
114,Uttar Pradesh,district_13,rural,10k-25k,1,seed_synthetic,2026
115,Tamil Nadu,district_14,urban,50k-100k,2,seed_synthetic,2026
116,Tamil Nadu,district_15,rural,<10k,2,seed_synthetic,2026
117,Karnataka,district_16,rural,<10k,2,seed_synthetic,2026
118,Karnataka,district_17,urban,25k-50k,4,seed_synthetic,2026
119,Maharashtra,district_18,urban,100k+,7,seed_synthetic,2026
120,Karnataka,district_19,urban,<10k,1,seed_synthetic,2026
121,Uttar Pradesh,district_20,rural,<10k,6,seed_synthetic,2026
122,West Bengal,district_21,rural,10k-25k,5,seed_synthetic,2026
123,Tamil Nadu,district_22,rural,50k-100k,5,seed_synthetic,2026
124,Uttar Pradesh,district_23,rural,<10k,5,seed_synthetic,2026
125,Bihar,district_24,rural,10k-25k,1,seed_synthetic,2026
126,Tamil Nadu,district_25,rural,25k-50k,6,seed_synthetic,2026
127,Karnataka,district_26,rural,10k-25k,2,seed_synthetic,2026
128,West Bengal,district_27,urban,<10k,4,seed_synthetic,2026
129,Tamil Nadu,district_28,rural,<10k,5,seed_synthetic,2026
130,Tamil Nadu,district_29,rural,10k-25k,5,seed_synthetic,2026
131,Tamil Nadu,district_30,rural,10k-25k,3,seed_synthetic,2026
132,Tamil Nadu,district_31,rural,50k-100k,3,seed_synthetic,2026
133,Karnataka,district_32,urban,25k-50k,4,seed_synthetic,2026
134,Tamil Nadu,district_33,rural,25k-50k,1,seed_synthetic,2026
135,West Bengal,district_34,urban,100k+,6,seed_synthetic,2026
136,Maharashtra,district_35,urban,10k-25k,1,seed_synthetic,2026
137,Tamil Nadu,district_36,rural,10k-25k,4,seed_synthetic,2026
138,Karnataka,district_37,rural,50k-100k,5,seed_synthetic,2026
139,Uttar Pradesh,district_38,rural,<10k,1,seed_synthetic,2026
140,Uttar Pradesh,district_39,rural,25k-50k,7,seed_synthetic,2026
141,Bihar,district_40,rural,25k-50k,3,seed_synthetic,2026
142,Maharashtra,district_41,rural,<10k,1,seed_synthetic,2026
143,Maharashtra,district_42,urban,10k-25k,5,seed_synthetic,2026
144,Uttar Pradesh,district_43,urban,<10k,4,seed_synthetic,2026
145,Bihar,district_44,rural,<10k,5,seed_synthetic,2026
146,Bihar,district_45,rural,10k-25k,6,seed_synthetic,2026
147,Karnataka,district_46,urban,10k-25k,4,seed_synthetic,2026
148,Maharashtra,district_47,rural,25k-50k,6,seed_synthetic,2026
149,West Bengal,district_48,rural,50k-100k,3,seed_synthetic,2026
150,Karnataka,district_49,urban,50k-100k,4,seed_synthetic,2026
151,Bihar,district_0,rural,10k-25k,2,seed_synthetic,2026
152,Maharashtra,district_1,rural,10k-25k,5,seed_synthetic,2026
153,Bihar,district_2,rural,10k-25k,2,seed_synthetic,2026
154,Maharashtra,district_3,urban,<10k,5,seed_synthetic,2026
155,Uttar Pradesh,district_4,rural,50k-100k,6,seed_synthetic,2026
156,Tamil Nadu,district_5,urban,10k-25k,7,seed_synthetic,2026
157,Karnataka,district_6,rural,<10k,7,seed_synthetic,2026
158,Tamil Nadu,district_7,urban,50k-100k,1,seed_synthetic,2026
159,Tamil Nadu,district_8,rural,10k-25k,1,seed_synthetic,2026
160,West Bengal,district_9,rural,<10k,7,seed_synthetic,2026
161,Bihar,district_10,urban,<10k,3,seed_synthetic,2026
162,Tamil Nadu,district_11,rural,25k-50k,1,seed_synthetic,2026
163,Uttar Pradesh,district_12,urban,25k-50k,3,seed_synthetic,2026
164,Uttar Pradesh,district_13,urban,<10k,6,seed_synthetic,2026
165,Uttar Pradesh,district_14,urban,50k-100k,3,seed_synthetic,2026
166,West Bengal,district_15,rural,50k-100k,1,seed_synthetic,2026
167,Maharashtra,district_16,rural,50k-100k,6,seed_synthetic,2026
168,Maharashtra,district_17,rural,<10k,2,seed_synthetic,2026
169,Uttar Pradesh,district_18,urban,<10k,3,seed_synthetic,2026
170,Karnataka,district_19,rural,50k-100k,1,seed_synthetic,2026
171,Karnataka,district_20,urban,10k-25k,5,seed_synthetic,2026
172,Karnataka,district_21,rural,25k-50k,4,seed_synthetic,2026
173,West Bengal,district_22,rural,25k-50k,7,seed_synthetic,2026
174,West Bengal,district_23,rural,<10k,3,seed_synthetic,2026
175,West Bengal,district_24,rural,25k-50k,2,seed_synthetic,2026
176,Uttar Pradesh,district_25,rural,50k-100k,2,seed_synthetic,2026
177,West Bengal,district_26,rural,25k-50k,2,seed_synthetic,2026
178,Karnataka,district_27,rural,10k-25k,4,seed_synthetic,2026
179,Bihar,district_28,urban,50k-100k,1,seed_synthetic,2026
180,Tamil Nadu,district_29,rural,10k-25k,3,seed_synthetic,2026
181,Bihar,district_30,urban,25k-50k,6,seed_synthetic,2026
182,Karnataka,district_31,urban,50k-100k,6,seed_synthetic,2026
183,Uttar Pradesh,district_32,urban,25k-50k,5,seed_synthetic,2026
184,West Bengal,district_33,rural,10k-25k,7,seed_synthetic,2026
185,Uttar Pradesh,district_34,rural,<10k,6,seed_synthetic,2026
186,Uttar Pradesh,district_35,urban,<10k,5,seed_synthetic,2026
187,Karnataka,district_36,rural,10k-25k,7,seed_synthetic,2026
188,Uttar Pradesh,district_37,rural,10k-25k,1,seed_synthetic,2026
189,Maharashtra,district_38,rural,25k-50k,6,seed_synthetic,2026
190,Maharashtra,district_39,rural,10k-25k,3,seed_synthetic,2026
191,West Bengal,district_40,urban,25k-50k,6,seed_synthetic,2026
192,Tamil Nadu,district_41,rural,50k-100k,7,seed_synthetic,2026
193,Tamil Nadu,district_42,urban,<10k,4,seed_synthetic,2026
194,Uttar Pradesh,district_43,urban,25k-50k,1,seed_synthetic,2026
195,Bihar,district_44,rural,25k-50k,3,seed_synthetic,2026
196,Karnataka,district_45,rural,10k-25k,3,seed_synthetic,2026
197,Uttar Pradesh,district_46,rural,<10k,7,seed_synthetic,2026
198,Karnataka,district_47,rural,25k-50k,7,seed_synthetic,2026
199,Uttar Pradesh,district_48,rural,100k+,4,seed_synthetic,2026
200,Bihar,district_49,urban,25k-50k,7,seed_synthetic,2026
201,Uttar Pradesh,district_0,urban,50k-100k,4,seed_synthetic,2026
202,Bihar,district_1,urban,100k+,3,seed_synthetic,2026
203,Uttar Pradesh,district_2,urban,10k-25k,6,seed_synthetic,2026
204,West Bengal,district_3,rural,25k-50k,5,seed_synthetic,2026
205,Uttar Pradesh,district_4,urban,10k-25k,4,seed_synthetic,2026
206,Maharashtra,district_5,rural,100k+,4,seed_synthetic,2026
207,West Bengal,district_6,rural,<10k,5,seed_synthetic,2026
208,Bihar,district_7,rural,10k-25k,6,seed_synthetic,2026
209,Maharashtra,district_8,rural,50k-100k,4,seed_synthetic,2026
210,West Bengal,district_9,rural,10k-25k,1,seed_synthetic,2026
211,Maharashtra,district_10,rural,25k-50k,1,seed_synthetic,2026
212,West Bengal,district_11,rural,10k-25k,2,seed_synthetic,2026
213,West Bengal,district_12,rural,100k+,4,seed_synthetic,2026
214,Uttar Pradesh,district_13,rural,50k-100k,5,seed_synthetic,2026
215,West Bengal,district_14,rural,10k-25k,6,seed_synthetic,2026
216,Maharashtra,district_15,urban,25k-50k,2,seed_synthetic,2026
217,Karnataka,district_16,rural,10k-25k,6,seed_synthetic,2026
218,Karnataka,district_17,urban,25k-50k,5,seed_synthetic,2026
219,Uttar Pradesh,district_18,rural,25k-50k,1,seed_synthetic,2026
220,Bihar,district_19,rural,50k-100k,3,seed_synthetic,2026
221,Karnataka,district_20,rural,<10k,3,seed_synthetic,2026
222,Uttar Pradesh,district_21,rural,<10k,7,seed_synthetic,2026
223,West Bengal,district_22,urban,25k-50k,7,seed_synthetic,2026
224,Maharashtra,district_23,rural,25k-50k,6,seed_synthetic,2026
225,West Bengal,district_24,urban,10k-25k,4,seed_synthetic,2026
226,Maharashtra,district_25,urban,<10k,4,seed_synthetic,2026
227,West Bengal,district_26,urban,10k-25k,3,seed_synthetic,2026
228,Tamil Nadu,district_27,urban,50k-100k,6,seed_synthetic,2026
229,Tamil Nadu,district_28,rural,<10k,1,seed_synthetic,2026
230,Maharashtra,district_29,rural,10k-25k,2,seed_synthetic,2026
231,Uttar Pradesh,district_30,urban,50k-100k,1,seed_synthetic,2026
232,Bihar,district_31,urban,<10k,4,seed_synthetic,2026
233,Karnataka,district_32,urban,25k-50k,3,seed_synthetic,2026
234,West Bengal,district_33,rural,10k-25k,2,seed_synthetic,2026
235,Uttar Pradesh,district_34,urban,50k-100k,3,seed_synthetic,2026
236,West Bengal,district_35,rural,25k-50k,7,seed_synthetic,2026
237,Tamil Nadu,district_36,urban,50k-100k,4,seed_synthetic,2026
238,Uttar Pradesh,district_37,urban,<10k,6,seed_synthetic,2026
239,Maharashtra,district_38,rural,10k-25k,7,seed_synthetic,2026
240,Tamil Nadu,district_39,rural,25k-50k,7,seed_synthetic,2026
241,Karnataka,district_40,urban,<10k,3,seed_synthetic,2026
242,Tamil Nadu,district_41,urban,<10k,7,seed_synthetic,2026
243,Karnataka,district_42,rural,<10k,7,seed_synthetic,2026
244,Tamil Nadu,district_43,urban,100k+,7,seed_synthetic,2026
245,Tamil Nadu,district_44,rural,25k-50k,3,seed_synthetic,2026
246,Karnataka,district_45,rural,25k-50k,2,seed_synthetic,2026
247,West Bengal,district_46,urban,25k-50k,5,seed_synthetic,2026
248,Uttar Pradesh,district_47,rural,10k-25k,7,seed_synthetic,2026
249,West Bengal,district_48,rural,10k-25k,7,seed_synthetic,2026
250,Karnataka,district_49,rural,10k-25k,4,seed_synthetic,2026
251,Maharashtra,district_0,urban,25k-50k,2,seed_synthetic,2026
252,Uttar Pradesh,district_1,urban,<10k,3,seed_synthetic,2026
253,Maharashtra,district_2,urban,50k-100k,5,seed_synthetic,2026
254,Maharashtra,district_3,rural,50k-100k,4,seed_synthetic,2026
255,Tamil Nadu,district_4,rural,10k-25k,3,seed_synthetic,2026
256,Karnataka,district_5,urban,25k-50k,3,seed_synthetic,2026
257,West Bengal,district_6,urban,<10k,1,seed_synthetic,2026
258,Karnataka,district_7,rural,100k+,3,seed_synthetic,2026
259,Maharashtra,district_8,urban,50k-100k,5,seed_synthetic,2026
260,Tamil Nadu,district_9,rural,50k-100k,2,seed_synthetic,2026
261,West Bengal,district_10,rural,10k-25k,7,seed_synthetic,2026
262,Maharashtra,district_11,urban,<10k,1,seed_synthetic,2026
263,Maharashtra,district_12,urban,<10k,5,seed_synthetic,2026
264,Bihar,district_13,urban,<10k,4,seed_synthetic,2026
265,Bihar,district_14,rural,<10k,6,seed_synthetic,2026
266,Tamil Nadu,district_15,urban,<10k,7,seed_synthetic,2026
267,Uttar Pradesh,district_16,urban,100k+,4,seed_synthetic,2026
268,Uttar Pradesh,district_17,urban,<10k,5,seed_synthetic,2026
269,Tamil Nadu,district_18,urban,<10k,5,seed_synthetic,2026
270,Tamil Nadu,district_19,rural,50k-100k,4,seed_synthetic,2026
271,Maharashtra,district_20,urban,25k-50k,2,seed_synthetic,2026
272,Karnataka,district_21,rural,25k-50k,4,seed_synthetic,2026
273,Karnataka,district_22,rural,25k-50k,2,seed_synthetic,2026
274,Bihar,district_23,rural,50k-100k,4,seed_synthetic,2026
275,Uttar Pradesh,district_24,urban,25k-50k,5,seed_synthetic,2026
276,Uttar Pradesh,district_25,rural,10k-25k,2,seed_synthetic,2026
277,Uttar Pradesh,district_26,rural,25k-50k,2,seed_synthetic,2026
278,West Bengal,district_27,urban,10k-25k,6,seed_synthetic,2026
279,Karnataka,district_28,rural,10k-25k,3,seed_synthetic,2026
280,Karnataka,district_29,rural,10k-25k,2,seed_synthetic,2026
281,Maharashtra,district_30,urban,<10k,5,seed_synthetic,2026
282,Uttar Pradesh,district_31,rural,25k-50k,6,seed_synthetic,2026
283,West Bengal,district_32,rural,10k-25k,6,seed_synthetic,2026
284,Uttar Pradesh,district_33,rural,<10k,6,seed_synthetic,2026
285,Uttar Pradesh,district_34,rural,<10k,7,seed_synthetic,2026
286,Bihar,district_35,rural,50k-100k,5,seed_synthetic,2026
287,Karnataka,district_36,rural,10k-25k,3,seed_synthetic,2026
288,Tamil Nadu,district_37,urban,25k-50k,7,seed_synthetic,2026
289,Tamil Nadu,district_38,rural,50k-100k,2,seed_synthetic,2026
290,Uttar Pradesh,district_39,rural,<10k,3,seed_synthetic,2026
291,West Bengal,district_40,urban,25k-50k,6,seed_synthetic,2026
292,Maharashtra,district_41,rural,10k-25k,7,seed_synthetic,2026
293,Bihar,district_42,urban,<10k,3,seed_synthetic,2026
294,Maharashtra,district_43,urban,25k-50k,6,seed_synthetic,2026
295,Tamil Nadu,district_44,urban,50k-100k,7,seed_synthetic,2026
296,Tamil Nadu,district_45,urban,10k-25k,6,seed_synthetic,2026
297,Bihar,district_46,urban,25k-50k,1,seed_synthetic,2026
298,Uttar Pradesh,district_47,urban,10k-25k,5,seed_synthetic,2026
299,Maharashtra,district_48,rural,25k-50k,2,seed_synthetic,2026
300,Karnataka,district_49,rural,25k-50k,6,seed_synthetic,2026
301,Uttar Pradesh,district_0,rural,25k-50k,1,seed_synthetic,2026
302,West Bengal,district_1,urban,25k-50k,7,seed_synthetic,2026
303,Karnataka,district_2,rural,<10k,2,seed_synthetic,2026
304,Bihar,district_3,rural,25k-50k,3,seed_synthetic,2026
305,Tamil Nadu,district_4,urban,25k-50k,2,seed_synthetic,2026
306,Karnataka,district_5,urban,25k-50k,6,seed_synthetic,2026
307,Maharashtra,district_6,rural,<10k,3,seed_synthetic,2026
308,Tamil Nadu,district_7,urban,10k-25k,6,seed_synthetic,2026
309,Maharashtra,district_8,rural,10k-25k,1,seed_synthetic,2026
310,Karnataka,district_9,rural,<10k,4,seed_synthetic,2026
311,Tamil Nadu,district_10,urban,<10k,7,seed_synthetic,2026
312,West Bengal,district_11,urban,10k-25k,7,seed_synthetic,2026
313,Karnataka,district_12,rural,25k-50k,2,seed_synthetic,2026
314,Maharashtra,district_13,rural,<10k,3,seed_synthetic,2026
315,Maharashtra,district_14,urban,50k-100k,3,seed_synthetic,2026
316,Tamil Nadu,district_15,rural,10k-25k,4,seed_synthetic,2026
317,West Bengal,district_16,rural,25k-50k,4,seed_synthetic,2026
318,West Bengal,district_17,rural,10k-25k,1,seed_synthetic,2026
319,Bihar,district_18,rural,10k-25k,6,seed_synthetic,2026
320,West Bengal,district_19,urban,25k-50k,2,seed_synthetic,2026
321,Maharashtra,district_20,urban,50k-100k,3,seed_synthetic,2026
322,Karnataka,district_21,rural,10k-25k,6,seed_synthetic,2026
323,Tamil Nadu,district_22,urban,10k-25k,5,seed_synthetic,2026
324,Bihar,district_23,rural,25k-50k,3,seed_synthetic,2026
325,Bihar,district_24,rural,25k-50k,7,seed_synthetic,2026
326,Maharashtra,district_25,urban,<10k,3,seed_synthetic,2026
327,Maharashtra,district_26,rural,10k-25k,4,seed_synthetic,2026
328,Karnataka,district_27,urban,10k-25k,2,seed_synthetic,2026
329,Karnataka,district_28,rural,50k-100k,2,seed_synthetic,2026
330,Tamil Nadu,district_29,urban,10k-25k,4,seed_synthetic,2026
331,Tamil Nadu,district_30,rural,10k-25k,4,seed_synthetic,2026
332,Uttar Pradesh,district_31,rural,100k+,6,seed_synthetic,2026
333,Maharashtra,district_32,rural,10k-25k,3,seed_synthetic,2026
334,West Bengal,district_33,rural,<10k,7,seed_synthetic,2026
335,Uttar Pradesh,district_34,rural,<10k,5,seed_synthetic,2026
336,West Bengal,district_35,rural,<10k,1,seed_synthetic,2026
337,Bihar,district_36,rural,<10k,6,seed_synthetic,2026
338,Maharashtra,district_37,rural,10k-25k,5,seed_synthetic,2026
339,Maharashtra,district_38,rural,25k-50k,3,seed_synthetic,2026
340,Bihar,district_39,rural,25k-50k,4,seed_synthetic,2026
341,Tamil Nadu,district_40,urban,<10k,3,seed_synthetic,2026
342,Maharashtra,district_41,rural,25k-50k,5,seed_synthetic,2026
343,Tamil Nadu,district_42,rural,<10k,4,seed_synthetic,2026
344,Tamil Nadu,district_43,rural,50k-100k,4,seed_synthetic,2026
345,Bihar,district_44,urban,<10k,2,seed_synthetic,2026
346,Maharashtra,district_45,rural,25k-50k,3,seed_synthetic,2026
347,Bihar,district_46,rural,10k-25k,4,seed_synthetic,2026
348,Bihar,district_47,rural,25k-50k,4,seed_synthetic,2026
349,Maharashtra,district_48,urban,10k-25k,3,seed_synthetic,2026
350,Karnataka,district_49,rural,25k-50k,5,seed_synthetic,2026
351,Tamil Nadu,district_0,urban,<10k,2,seed_synthetic,2026
352,Karnataka,district_1,urban,50k-100k,4,seed_synthetic,2026
353,Maharashtra,district_2,rural,10k-25k,1,seed_synthetic,2026
354,Uttar Pradesh,district_3,rural,25k-50k,4,seed_synthetic,2026
355,Bihar,district_4,urban,50k-100k,6,seed_synthetic,2026
356,Bihar,district_5,rural,100k+,6,seed_synthetic,2026
357,Karnataka,district_6,rural,<10k,5,seed_synthetic,2026
358,Bihar,district_7,rural,10k-25k,6,seed_synthetic,2026
359,Karnataka,district_8,rural,10k-25k,1,seed_synthetic,2026
360,West Bengal,district_9,rural,10k-25k,3,seed_synthetic,2026
361,Bihar,district_10,rural,25k-50k,5,seed_synthetic,2026
362,Bihar,district_11,rural,100k+,6,seed_synthetic,2026
363,Maharashtra,district_12,rural,100k+,5,seed_synthetic,2026
364,Bihar,district_13,rural,10k-25k,6,seed_synthetic,2026
365,Karnataka,district_14,urban,25k-50k,2,seed_synthetic,2026
366,Tamil Nadu,district_15,rural,50k-100k,2,seed_synthetic,2026
367,Uttar Pradesh,district_16,rural,50k-100k,1,seed_synthetic,2026
368,Maharashtra,district_17,rural,<10k,5,seed_synthetic,2026
369,Karnataka,district_18,urban,10k-25k,5,seed_synthetic,2026
370,West Bengal,district_19,urban,50k-100k,2,seed_synthetic,2026
371,Uttar Pradesh,district_20,rural,10k-25k,6,seed_synthetic,2026
372,Tamil Nadu,district_21,urban,10k-25k,6,seed_synthetic,2026
373,Uttar Pradesh,district_22,rural,100k+,3,seed_synthetic,2026
374,Uttar Pradesh,district_23,rural,100k+,2,seed_synthetic,2026
375,Bihar,district_24,rural,50k-100k,6,seed_synthetic,2026
376,Karnataka,district_25,rural,25k-50k,5,seed_synthetic,2026
377,West Bengal,district_26,rural,10k-25k,2,seed_synthetic,2026
378,West Bengal,district_27,urban,10k-25k,2,seed_synthetic,2026
379,Uttar Pradesh,district_28,rural,10k-25k,4,seed_synthetic,2026
380,Maharashtra,district_29,rural,25k-50k,4,seed_synthetic,2026
381,Karnataka,district_30,rural,10k-25k,2,seed_synthetic,2026
382,Bihar,district_31,rural,25k-50k,7,seed_synthetic,2026
383,Bihar,district_32,rural,10k-25k,3,seed_synthetic,2026
384,Maharashtra,district_33,rural,25k-50k,3,seed_synthetic,2026
385,Karnataka,district_34,urban,10k-25k,1,seed_synthetic,2026
386,Karnataka,district_35,rural,10k-25k,7,seed_synthetic,2026
387,Karnataka,district_36,rural,<10k,2,seed_synthetic,2026
388,West Bengal,district_37,urban,<10k,7,seed_synthetic,2026
389,Bihar,district_38,urban,50k-100k,4,seed_synthetic,2026
390,Karnataka,district_39,rural,10k-25k,7,seed_synthetic,2026
391,West Bengal,district_40,urban,<10k,2,seed_synthetic,2026
392,Maharashtra,district_41,rural,25k-50k,2,seed_synthetic,2026
393,Uttar Pradesh,district_42,urban,25k-50k,6,seed_synthetic,2026
394,Tamil Nadu,district_43,urban,<10k,6,seed_synthetic,2026
395,West Bengal,district_44,rural,10k-25k,4,seed_synthetic,2026
396,Bihar,district_45,rural,<10k,1,seed_synthetic,2026
397,Karnataka,district_46,urban,25k-50k,7,seed_synthetic,2026
398,Maharashtra,district_47,urban,10k-25k,3,seed_synthetic,2026
399,Maharashtra,district_48,urban,<10k,7,seed_synthetic,2026
400,Maharashtra,district_49,rural,<10k,7,seed_synthetic,2026
401,Bihar,district_0,rural,25k-50k,6,seed_synthetic,2026
402,West Bengal,district_1,urban,<10k,5,seed_synthetic,2026
